MSOA21CD,MSOA21NM,retail_units_2019,total_rateable_value_2019,median_rateable_value_2019,total_floor_area_2019,median_floor_area_2019,vacancy_proxy_2019,retail_units,total_rateable_value,median_rateable_value,total_floor_area,median_floor_area,vacancy_proxy,retail_units_pct_change_2019,total_rateable_value_pct_change_2019,median_rateable_value_pct_change_2019,total_floor_area_pct_change_2019,median_floor_area_pct_change_2019,vacancy_proxy_change_2019
E02000093,Brent 001,82,1342000.0,12750.0,9293.8,81.95,0.0853658536585365,85.0,1575650.0,14558.333333333334,10420.523333333333,82.53333333333333,0.09345546263108984,0.03658536585365854,0.17410581222056631,0.14183006535947715,0.12123386917443184,0.0071181614805775305,0.008089608972553342
E02000094,Brent 002,128,8129250.0,14875.0,47828.91,55.0,0.0234375,147.66666666666666,8866508.333333334,15166.666666666666,80262.62333333334,59.18333333333334,0.03386857782212944,0.15364583333333334,0.09069204826193478,0.019607843137254905,0.6781194330653433,0.07606060606060604,0.010431077822129436
E02000095,Brent 003,151,4209400.0,18875.0,20273.66,67.9,0.0132450331125827,156.33333333333334,4435405.0,19916.666666666668,22220.63666666667,67.86666666666667,0.0247984732289806,0.03532008830022075,0.053690549722050646,0.05518763796909493,0.09603478931118835,-0.0004909180166912545,0.011553440116397902
E02000096,Brent 004,62,2386300.0,16250.0,11355.76,81.0,0.0161290322580645,63.666666666666664,2520966.6666666665,17833.333333333332,15188.230000000001,85.02,0.06802879034130484,0.02688172043010753,0.056433250918437185,0.09743589743589744,0.3374912819573503,0.04962962962962958,0.05189975808324033
E02000097,Brent 005,64,937310.0,11750.0,6657.07,60.1,0.03125,65.0,1102223.3333333333,13416.666666666666,7276.53,60.15,0.035824592074592036,0.015625,0.17594321338013394,0.14184397163120568,0.09305294972112362,0.0008319467554076459,0.004574592074592034
E02000098,Brent 006,46,585900.0,14125.0,3481.18,66.1,0.0,49.0,746483.3333333334,16250.0,3749.86,69.905,0.0,0.06521739130434782,0.2740797633270751,0.1504424778761062,0.07718072607564107,0.05756429652042371,0.0
E02000099,Brent 007,105,1612865.0,11625.0,12793.0,93.89,0.0285714285714285,109.66666666666667,1787095.0,14583.333333333334,13640.383333333333,95.39333333333333,0.042350597851499604,0.044444444444444446,0.10802516019629665,0.25448028673835127,0.06623804684853694,0.0160116448326055,0.013779169280071099
E02000100,Brent 008,36,713600.0,10000.0,3497.29,64.0,0.0555555555555555,38.333333333333336,818033.3333333334,12000.0,3840.32,67.7,0.024390243902439,0.06481481481481481,0.14634715994020928,0.19999999999999998,0.0980845168687756,0.05781249999999997,-0.031165311653116496
E02000101,Brent 009,76,3815095.0,17875.0,27475.18,77.3,0.0394736842105263,68.33333333333333,3551183.3333333335,20875.0,31453.76,89.69833333333334,0.09330024813895776,-0.10087719298245613,-0.06917564743909828,0.16783216783216784,0.14480633065916212,0.16039241052177666,0.053826563928431465
E02000102,Brent 010,13,182355.0,5250.0,8891.74,48.0,0.0,14.333333333333334,210751.66666666666,4800.0,8818.76,44.30666666666667,0.0698412698412698,0.10256410256410257,0.15572189776351988,-0.0857142857142857,-0.008207617406716815,-0.07694444444444444,0.0698412698412698
E02000103,Brent 011,91,2668810.0,10000.0,20374.51,74.25,0.1318681318681318,180.66666666666666,5917558.333333333,10541.666666666666,42253.829999999994,74.45166666666667,0.11784219257772725,0.9853479853479854,1.2173022183420077,0.05416666666666667,1.073857481725941,0.0027160493827160675,-0.014025939290404549
E02000104,Brent 012,178,827097.0,960.0,5883.58,19.5,0.0505617977528089,172.0,856391.6666666666,1270.0,5890.63,20.846666666666668,0.046317568932523735,-0.033707865168539325,0.035418659077069155,0.3229166666666667,0.0011982500450406358,0.06905982905982905,-0.0042442288202851645
E02000105,Brent 013,104,1593425.0,12500.0,8375.4,60.255,0.048076923076923,109.33333333333333,1832991.6666666667,13833.333333333334,9527.839999999998,60.38,0.060897430990888866,0.05128205128205129,0.15034699886512806,0.10666666666666667,0.13759820426487093,0.002074516637623434,0.012820507913965865
E02000106,Brent 014,175,7930550.0,13750.0,49125.46000000001,58.4,0.0514285714285714,173.0,4781316.666666667,15291.666666666666,49790.26666666666,60.343333333333334,0.06836186444620176,-0.011428571428571429,-0.3971015040991272,0.11212121212121212,0.013532833416046613,0.03327625570776259,0.016933293017630368
E02000107,Brent 015,125,3442750.0,16500.0,21335.78,72.1,0.08,131.0,3379583.3333333335,14833.333333333334,22500.309999999998,73.5,0.07602400222678997,0.04800000000000001,-0.01834773557959964,-0.101010101010101,0.05458108398193088,0.019417475728155418,-0.003975997773210037
E02000108,Brent 016,11,208375.0,12500.0,846.1800000000001,67.7,0.0909090909090909,9.666666666666666,205816.66666666666,15000.0,819.4266666666666,72.73333333333333,0.0,-0.12121212121212122,-0.012277544491101779,0.20000000000000004,-0.03161659851725803,0.07434761201378629,-0.0909090909090909
E02000110,Brent 018,38,483900.0,10250.0,3230.1,55.2,0.0526315789473684,37.0,522866.6666666667,11583.333333333334,3123.4833333333336,55.5,0.08112059427848896,-0.02631578947368421,0.08052627953433905,0.13008130081300814,-0.033007234038161866,0.0054347826086956425,0.02848901533112057
E02000111,Brent 019,142,3608155.0,19750.0,23387.04,78.77,0.0492957746478873,187.0,4106003.3333333335,14958.333333333334,23088.2,60.56333333333333,0.07030209933435737,0.3169014084507042,0.13797864374821298,-0.24261603375527427,-0.012778017226634977,-0.23113706571875922,0.021006324686470068
